XCOM:
Constituents (Atomic Number : Fraction by Weight)

 Z=13	: 0.227263
 Z=39	: 0.449308
 Z=8	: 0.323428

       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
        (MeV)    (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)

       1.100E+01 3.59E-06 1.35E-02 1.90E-05 1.39E-02 3.70E-04 2.77E-02 2.77E-02
       1.200E+01 3.02E-06 1.26E-02 1.72E-05 1.47E-02 4.10E-04 2.78E-02 2.78E-02
       1.300E+01 2.57E-06 1.19E-02 1.57E-05 1.55E-02 4.47E-04 2.78E-02 2.78E-02
       1.400E+01 2.22E-06 1.12E-02 1.45E-05 1.62E-02 4.82E-04 2.79E-02 2.79E-02
       1.500E+01 1.93E-06 1.07E-02 1.34E-05 1.68E-02 5.15E-04 2.81E-02 2.81E-02
       1.600E+01 1.70E-06 1.02E-02 1.25E-05 1.75E-02 5.47E-04 2.82E-02 2.82E-02
       1.800E+01 1.34E-06 9.29E-03 1.09E-05 1.86E-02 6.06E-04 2.85E-02 2.85E-02
       2.000E+01 1.09E-06 8.57E-03 9.76E-06 1.96E-02 6.60E-04 2.88E-02 2.88E-02
       2.200E+01 8.98E-07 7.96E-03 8.80E-06 2.05E-02 7.09E-04 2.92E-02 2.92E-02
       2.400E+01 7.54E-07 7.44E-03 8.01E-06 2.14E-02 7.55E-04 2.96E-02 2.96E-02
       2.600E+01 6.43E-07 6.98E-03 7.36E-06 2.21E-02 7.97E-04 2.99E-02 2.99E-02
       2.800E+01 5.54E-07 6.59E-03 6.80E-06 2.28E-02 8.37E-04 3.03E-02 3.03E-02
       3.000E+01 4.83E-07 6.24E-03 6.32E-06 2.35E-02 8.74E-04 3.06E-02 3.06E-02
       4.000E+01 2.72E-07 4.96E-03 4.67E-06 2.61E-02 1.03E-03 3.21E-02 3.21E-02
       5.000E+01 1.74E-07 4.14E-03 3.70E-06 2.81E-02 1.15E-03 3.33E-02 3.33E-02
       6.000E+01 1.21E-07 3.57E-03 3.07E-06 2.96E-02 1.24E-03 3.44E-02 3.44E-02
       8.000E+01 6.79E-08 2.81E-03 2.28E-06 3.19E-02 1.39E-03 3.61E-02 3.61E-02
       1.000E+02 4.34E-08 2.33E-03 1.82E-06 3.35E-02 1.49E-03 3.73E-02 3.73E-02
       1.500E+02 1.93E-08 1.66E-03 1.21E-06 3.61E-02 1.68E-03 3.95E-02 3.95E-02
       2.000E+02 1.09E-08 1.30E-03 9.01E-07 3.77E-02 1.79E-03 4.08E-02 4.08E-02
       3.000E+02 4.83E-09 9.24E-04 5.99E-07 3.95E-02 1.94E-03 4.24E-02 4.24E-02
       4.000E+02 2.72E-09 7.23E-04 4.49E-07 4.06E-02 2.03E-03 4.34E-02 4.34E-02
       5.000E+02 1.74E-09 5.99E-04 3.58E-07 4.13E-02 2.09E-03 4.40E-02 4.40E-02
       6.000E+02 1.21E-09 5.13E-04 2.99E-07 4.18E-02 2.14E-03 4.45E-02 4.45E-02
       8.000E+02 6.79E-10 4.00E-04 2.24E-07 4.25E-02 2.20E-03 4.51E-02 4.51E-02
       1.000E+03 4.34E-10 3.29E-04 1.79E-07 4.29E-02 2.25E-03 4.55E-02 4.55E-02
       1.500E+03 1.93E-10 2.30E-04 1.19E-07 4.36E-02 2.31E-03 4.61E-02 4.61E-02
       2.000E+03 1.09E-10 1.78E-04 8.94E-08 4.39E-02 2.35E-03 4.64E-02 4.64E-02
       3.000E+03 4.83E-11 1.24E-04 5.96E-08 4.43E-02 2.39E-03 4.68E-02 4.68E-02
       4.000E+03 2.72E-11 9.56E-05 4.47E-08 4.45E-02 2.41E-03 4.70E-02 4.70E-02
       5.000E+03 1.74E-11 7.82E-05 3.57E-08 4.46E-02 2.43E-03 4.71E-02 4.71E-02
       6.000E+03 1.21E-11 6.63E-05 2.98E-08 4.47E-02 2.44E-03 4.72E-02 4.72E-02
       8.000E+03 6.79E-12 5.10E-05 2.23E-08 4.48E-02 2.45E-03 4.73E-02 4.73E-02
       1.000E+04 4.34E-12 4.17E-05 1.79E-08 4.49E-02 2.46E-03 4.74E-02 4.74E-02
       1.500E+04 1.93E-12 2.88E-05 1.19E-08 4.50E-02 2.47E-03 4.75E-02 4.75E-02
       2.000E+04 1.09E-12 2.21E-05 8.93E-09 4.51E-02 2.48E-03 4.76E-02 4.76E-02
       3.000E+04 4.83E-13 1.53E-05 5.95E-09 4.51E-02 2.49E-03 4.76E-02 4.76E-02
       4.000E+04 2.72E-13 1.17E-05 4.46E-09 4.51E-02 2.49E-03 4.76E-02 4.76E-02
       5.000E+04 1.74E-13 9.55E-06 3.57E-09 4.52E-02 2.50E-03 4.77E-02 4.77E-02
       6.000E+04 1.21E-13 8.07E-06 2.98E-09 4.52E-02 2.50E-03 4.77E-02 4.77E-02
       8.000E+04 6.79E-14 6.19E-06 2.23E-09 4.52E-02 2.50E-03 4.77E-02 4.77E-02
       1.000E+05 4.34E-14 5.03E-06 1.79E-09 4.52E-02 2.50E-03 4.77E-02 4.77E-02

Return to selection page. 
